allmb_name	gbif_species_key	num_occurrences	myco_state
Ficus_glabrata	6358534	5112	arbuscular
Ficus_vasta	5571755	249	arbuscular
Ficus_formosana_f._formosana	7262706	1752	arbuscular
Ficus_sumatrana	5569869	682	arbuscular
Ficus_nota	5361915	155	arbuscular
Ficus_racemigera	5571762	132	arbuscular
Ficus_callosa	5571016	299	arbuscular
Ficus_natalensis_var._leprieurii	6358688	1605	arbuscular
Ficus_tiliifolia	5572526	283	arbuscular
Ficus_erythrosperma	5571901	585	arbuscular
Ficus_minahassae	5571122	174	arbuscular
Ficus_congensis	5572235	922	arbuscular
Ficus_yoponensis	5571280	578	arbuscular
Ficus_bullenei	5571399	302	arbuscular
Ficus_colubrinae	5570299	842	arbuscular
Ficus_popenoei	7262862	363	arbuscular
Ficus_mollior	7262612	585	arbuscular
Ficus_abelii	5570171	948	arbuscular
Ficus_variegata_var._chlorocarpa	3234563	2271	arbuscular
Ficus_subpuberula	5569976	332	arbuscular
Ficus_retusa	3765871	476	arbuscular
Ficus_aurea	5361923	2228	arbuscular
Ficus_godeffroyi	5361913	111	arbuscular
Ficus_cotinifolia	7262403	1741	arbuscular
Ficus_obtusiuscula	5570532	992	arbuscular
Ficus_macbridei	5571803	504	arbuscular
Ficus_mutisii	5570900	230	arbuscular
Ficus_lamponga	7262880	153	arbuscular
Ficus_cuatrecasana	5569811	456	arbuscular
Ficus_pachyclada	8277277	25	arbuscular
Ficus_vrieseana	7262712	42	arbuscular
Ficus_hirsuta	8246954	379	arbuscular
Ficus_apollinaris	5572059	451	arbuscular
Ficus_arpazusa	5571940	450	arbuscular
Ficus_aurantiaca			arbuscular
Ficus_austrocaledonica	8272563	241	arbuscular
Ficus_bahiensis	5571703	184	arbuscular
Ficus_barclayana	7486090	65	arbuscular
Ficus_barteri	5571582	273	arbuscular
Ficus_boliviana	5571350	56	arbuscular
Ficus_brachyclada	5571268	496	arbuscular
Ficus_brevibracteata	5571209	314	arbuscular
Ficus_caldasiana	5571043	237	arbuscular
Ficus_calyptroceras	5570992	436	arbuscular
Ficus_cervantesiana	5570712	643	arbuscular
Ficus_donnell-smithii	5572269	380	arbuscular
Ficus_enormis	8213893	1163	arbuscular
Ficus_greenwoodii	5570933	100	arbuscular
Ficus_guaranitica	5570839	872	arbuscular
Ficus_hartwegii	5570703	637	arbuscular
Ficus_hebetifolia	5570670	98	arbuscular
Ficus_indigofera	5570118	122	arbuscular
Ficus_juruensis	8614898	10	arbuscular
Ficus_leiocarpa	5572213	26	arbuscular
Ficus_louisii	5571906	61	arbuscular
Ficus_mariae	5571477	129	arbuscular
Ficus_mathewsii	5571405	834	arbuscular
Ficus_mutabilis	5570909	62	arbuscular
Ficus_nitidifolia	5570681	103	arbuscular
Ficus_odorata	5570494	56	arbuscular
Ficus_osensis	5570340	12	arbuscular
Ficus_otophora	5570324	42	arbuscular
Ficus_pakkensis	5570145	116	arbuscular
